noisy hard run 1: coda_hard_p1
##########5K!##########
##########1K!##########
##########500!##########
##########250!##########
##########100!##########
##########5K!##########
new_model_params: 11945879, saved_model_params: 11945879
METRICS:  ['DISTANCE_TO_GOAL', 'SUCCESS', 'SPL', 'COLLISIONS', 'BASE_STATE', 'COLLISIONS', 'SOFT_SPL', 'TOP_DOWN_MAP', 'EPISODE_DISTANCE']
METRIC UUID:  spl
Ep_id:  2 Start_pos:  [-5.627, 0.0, -4.9399999999999995] [0.0, 0.0, 0.0, -1.0] Goal_pos:  [-1.6269999999999998, 0.0, 0.56]
[0, 0, 0, 3, 0]
[-5.626999855041504, 4.940000057220459, -0.5235988065090684, 3, 0]
[-5.626999855041504, 4.940000057220459, -1.047197507135579, 3, 0]
[-5.626999855041504, 4.940000057220459, -1.5707962425012016, 3, 0]
[-5.626999855041504, 4.940000057220459, -2.094395086849571, 1, 0]
[-5.41049337387085, 4.815000057220459, -2.094395086849571, 3, 0]
[-5.41049337387085, 4.815000057220459, -2.617993847080725, 1, 0]
[-5.28549337387085, 4.598493576049805, -2.617993847080725, 3, 0]
[-5.28549337387085, 4.598493576049805, -3.1415925939851483, 3, 0]
[-5.28549337387085, 4.598493576049805, 2.6179939046543876, 3, 0]
[-5.28549337387085, 4.598493576049805, 2.094395146454214, 1, 0]
[-5.501999855041504, 4.473493576049805, 2.094395146454214, 2, 0]
[-5.501999855041504, 4.473493576049805, 2.617993847080725, 2, 0]
[-5.501999855041504, 4.473493576049805, 3.1415925939851483, 1, 0]
[-5.501999855041504, 4.223493576049805, 3.1415925939851483, 1, 0]
[-5.501999855041504, 3.9734935760498047, 3.1415925939851483, 1, 0]
[-5.501999855041504, 3.7234935760498047, 3.1415925939851483, 1, 0]
[-5.501999855041504, 3.4734935760498042, 3.1415925939851483, 1, 0]
[-5.501999855041504, 3.2234935760498047, 3.1415925939851483, 1, 0]
[-5.501999855041504, 2.9734935760498047, 3.1415925939851483, 2, 0]
[-5.501999855041504, 2.9734935760498047, -2.6179939046543876, 1, 0]
[-5.376999855041504, 2.7569870948791504, -2.6179939046543876, 1, 0]
[-5.251999855041504, 2.540480613708496, -2.6179939046543876, 2, 0]
[-5.251999855041504, 2.540480613708496, -2.094395146454214, 1, 0]
[-5.03549337387085, 2.415480613708496, -2.094395146454214, 2, 0]
[-5.03549337387085, 2.415480613708496, -1.5707964110885915, 2, 0]
[-5.03549337387085, 2.415480613708496, -1.0471975667402222, 1, 0]
[-4.818986892700195, 2.540480613708496, -1.0471975667402222, 1, 0]
[-4.602480411529541, 2.665480613708496, -1.0471975667402222, 1, 0]
[-4.385973930358887, 2.790480613708496, -1.0471975667402222, 1, 0]
[-4.169467449188232, 2.915480613708496, -1.0471975667402222, 3, 0]
[-4.169467449188232, 2.915480613708496, -1.5707964110885915, 1, 0]
[-3.9194674491882324, 2.915480613708496, -1.5707964110885915, 3, 0]
[-3.9194674491882324, 2.915480613708496, -2.0943952496924876, 1, 0]
[-3.7029612064361572, 2.790480613708496, -2.0943952496924876, 1, 0]
[-3.486454963684082, 2.665480613708496, -2.0943952496924876, 1, 0]
[-3.269948720932007, 2.540480613708496, -2.0943952496924876, 2, 0]
[-3.269948720932007, 2.540480613708496, -1.5707964953822935, 1, 0]
[-3.019948720932007, 2.540480613708496, -1.5707964953822935, 1, 0]
[-2.769948720932007, 2.540480613708496, -1.5707964953822935, 1, 0]
[-2.519948720932007, 2.540480613708496, -1.5707964953822935, 1, 0]
[-2.269948720932007, 2.540480613708496, -1.5707964953822935, 3, 0]
[-2.269948720932007, 2.540480613708496, -2.0943953013116268, 1, 0]
[-2.0534424781799316, 2.415480613708496, -2.0943953013116268, 1, 0]
[-1.836936116218567, 2.290480613708496, -2.0943953013116268, 3, 0]
[-1.836936116218567, 2.290480613708496, -2.617994077375382, 1, 0]
[-1.711936116218567, 2.073974132537842, -2.617994077375382, 3, 0]
[-1.711936116218567, 2.073974132537842, 3.141592474775859, 2, 0]
[-1.711936116218567, 2.073974132537842, -2.6179940198017166, 1, 0]
[-1.586936116218567, 1.857467770576477, -2.6179940198017166, 2, 0]
[-1.586936116218567, 1.857467770576477, -2.0943952496924876, 3, 0]
[-1.586936116218567, 1.857467770576477, -2.6179939622280517, 3, 0]
[-1.586936116218567, 1.857467770576477, 3.1415925939851483, 3, 0]
[-1.586936116218567, 1.857467770576477, 2.6179938162270884, 3, 0]
[-1.586936116218567, 1.857467770576477, 2.0943949836113, 3, 0]
[-1.586936116218567, 1.857467770576477, 1.5707961582074996, 1, 0]
[-1.836936116218567, 1.857467770576477, 1.5707961582074996, 2, 0]
[-1.836936116218567, 1.857467770576477, 2.0943948803730352, 2, 0]
[-1.836936116218567, 1.857467770576477, 2.6179936435060958, 2, 0]
[-1.836936116218567, 1.857467770576477, 3.141592415171214, 2, 0]
[-1.836936116218567, 1.857467770576477, -2.6179941349490488, 3, 0]
[-1.836936116218567, 1.857467770576477, 3.141592415171214, 3, 0]
[-1.836936116218567, 1.857467770576477, 2.617993585932433, 3, 0]
[-1.836936116218567, 1.857467770576477, 2.0943948207683785, 1, 0]
[-2.0534424781799316, 1.7324678897857666, 2.0943948207683785, 2, 0]
[-2.0534424781799316, 1.7324678897857666, 2.617993585932433, 1, 0]
[-2.1784424781799316, 1.5159615278244019, 2.617993585932433, 2, 0]
[-2.1784424781799316, 1.5159615278244019, 3.1415923555665692, 2, 0]
[-2.1784424781799316, 1.5159615278244019, -2.6179941925227164, 1, 1]
[-2.1364872455596924, 1.4432929754257202, -2.6179941925227164, 2, 0]
[-2.1364872455596924, 1.4432929754257202, -2.0943954125353974, 1, 0]
[-1.9199808835983276, 1.3182928562164307, -2.0943954125353974, 3, 0]
[-1.9199808835983276, 1.3182928562164307, -2.6179941925227164, 3, 0]
[-1.9199808835983276, 1.3182928562164307, 3.1415923555665692, 3, 0]
[-1.9199808835983276, 1.3182928562164307, 2.6179935283587716, 2, 0]
[-1.9199808835983276, 1.3182928562164307, 3.1415922959619245, 2, 0]
[-1.9199808835983276, 1.3182928562164307, -2.6179942500963844, 1, 0]
[-1.7949810028076172, 1.101786494255066, -2.6179942500963844, 3, 0]
[-1.7949810028076172, 1.101786494255066, 3.1415922959619245, 3, 0]
[-1.7949810028076172, 1.101786494255066, 2.6179934707851107, 3, 0]
[-1.7949810028076172, 1.101786494255066, 2.0943946142918604, 2, 0]
[-1.7949810028076172, 1.101786494255066, 2.617993413211451, 2, 0]
[-1.7949810028076172, 1.101786494255066, 3.141592176752635, 2, 0]
[-1.7949810028076172, 1.101786494255066, -2.617994338523662, 2, 0]
[-1.7949810028076172, 1.101786494255066, -2.0943955753783, 2, 0]
[-1.7949810028076172, 1.101786494255066, -1.5707967482633713, 2, 0]
[-1.7949810028076172, 1.101786494255066, -1.047198039297933, 2, 0]
[-1.7949810028076172, 1.101786494255066, -0.5235992403783423, 2, 0]
[-1.7949810028076172, 1.101786494255066, -4.7683715820311595e-07, 2, 0]
[-1.7949810028076172, 1.101786494255066, 0.5235983150661313, 2, 0]
[-1.7949810028076172, 1.101786494255066, 1.047197078211493, 3, 0]
[-1.7949810028076172, 1.101786494255066, 0.5235982574924644, 1, 0]
[-1.9199808835983276, 1.3182928562164307, 0.5235982574924644, 2, 0]
[-1.9199808835983276, 1.3182928562164307, 1.0471970265923514, 3, 0]
[-1.9199808835983276, 1.3182928562164307, 0.5235982574924644, 1, 0]
[-2.044980764389038, 1.534799337387085, 0.5235982574924644, 3, 0]
[-2.044980764389038, 1.534799337387085, -5.364418029785028e-07, 1, 0]
[-2.044980525970459, 1.784799337387085, -5.364418029785028e-07, 2, 0]
[-2.044980525970459, 1.784799337387085, 0.5235982574924644, 2, 0]
[-2.044980525970459, 1.784799337387085, 1.0471970265923514, 2, 0]
[-2.044980525970459, 1.784799337387085, 1.570795821032706, 2, 0]
[-2.044980525970459, 1.784799337387085, 2.0943946142918604, 1, 0]
[-2.2614870071411133, 1.659799337387085, 2.0943946142918604, 3, 0]
[-2.2614870071411133, 1.659799337387085, 1.5707957367390324, 1, 0]
[-2.5114870071411133, 1.6597994565963745, 1.5707957367390324, 2, 0]
[-2.5114870071411133, 1.6597994565963745, 2.094394451448937, 1, 1]
[-2.6461691856384277, 1.582040786743164, 2.094394451448937, 2, 0]
[-2.6461691856384277, 1.582040786743164, 2.617993209636806, 3, 0]
[-2.6461691856384277, 1.582040786743164, 2.0943943482106895, 3, 0]
[-2.6461691856384277, 1.582040786743164, 1.5707955681516426, 1, 0]
[-2.8961691856384277, 1.5820410251617432, 1.5707955681516426, 2, 0]
[-2.8961691856384277, 1.5820410251617432, 2.0943942886060065, 2, 0]
[-2.8961691856384277, 1.5820410251617432, 2.6179929793421737, 2, 0]
[-2.8961691856384277, 1.5820410251617432, 3.141591789322444, 1, 0]
[-2.896169424057007, 1.3320410251617432, 3.141591789322444, 3, 0]
[-2.896169424057007, 1.3320410251617432, 2.6179929793421737, 1, 0]
[-3.021169662475586, 1.115534782409668, 2.6179929793421737, 3, 0]
[-3.021169662475586, 1.115534782409668, 2.094394185367762, 1, 0]
[-3.2376761436462402, 0.9905349612236023, 2.094394185367762, 2, 0]
[-3.2376761436462402, 0.9905349612236023, 2.6179928909148282, 2, 0]
[-3.2376761436462402, 0.9905349612236023, 3.141591699915363, 1, 0]
[-3.2376763820648193, 0.7405349612236023, 3.141591699915363, 2, 0]
[-3.2376763820648193, 0.7405349612236023, -2.617994799113023, 2, 0]
[-3.2376763820648193, 0.7405349612236023, -2.094396055921522, 1, 0]
[-3.021170139312744, 0.6155347228050232, -2.094396055921522, 2, 0]
