id,reward,distance_to_goal,episode_distance,success,spl,steps
0,10.816553115844727,0.31572622060775757,1.149278998374939,1.0,1.0,3
7,11.131826400756836,0.035405006259679794,1.1812313795089722,1.0,0.8008404677732693,3
6,13.192952156066895,0.11970159411430359,3.344653606414795,1.0,0.9615278185620871,6
1,11.281375885009766,0.3989979922771454,1.7233738899230957,1.0,0.5442556483322951,7
1,11.863025665283203,0.39804500341415405,2.309070110321045,1.0,0.660588246443078,8
6,11.907062530517578,0.32475677132606506,2.2788195610046387,1.0,1.0,9
7,11.519591331481934,0.3070715665817261,1.878662347793579,1.0,1.0,10
6,11.583396911621094,0.3737047612667084,2.016101837158203,1.0,0.9453453738771311,12
7,11.605408668518066,0.36412814259529114,2.03753662109375,1.0,0.5956691148270143,12
3,11.411925315856934,0.2768590450286865,1.7697844505310059,1.0,0.6924809651615995,14
0,11.624248504638672,0.3553215563297272,2.0165698528289795,1.0,1.0,7
9,11.004032135009766,0.201901376247406,1.2849332094192505,1.0,0.5135998518590389,16
7,11.540140151977539,0.12267248332500458,1.7448123693466187,1.0,0.5212985097620593,16
3,12.081047058105469,0.20727483928203583,2.3253214359283447,1.0,0.9588084949341137,7
8,12.282176971435547,0.15889166295528412,2.471068859100342,1.0,0.8536193618159146,5
7,12.12514591217041,0.3460523188114166,2.50319766998291,1.0,0.7739108810039373,6
9,11.411561012268066,0.3715250492095947,1.8030861616134644,1.0,1.0,3
1,11.718279838562012,0.23612090945243835,2.058400869369507,1.0,0.24420508643238162,21
3,11.899593353271484,0.31318166851997375,2.24977445602417,1.0,0.6411705429519581,7
4,13.979150772094727,0.11843371391296387,4.192584037780762,1.0,0.44032304623405216,18
7,11.85924243927002,0.28758320212364197,2.2068252563476562,1.0,0.9534690294490151,11
1,13.359039306640625,0.17933134734630585,3.6143710613250732,1.0,0.7981720189418269,13
9,12.690319061279297,0.2753186523914337,3.046637773513794,1.0,0.5793491548516764,14
3,12.58560848236084,0.2559553384780884,3.0235652923583984,1.0,0.8492779991310166,33
5,12.44911003112793,0.12367675453424454,2.6507861614227295,1.0,0.673135081489593,14
