noisy hard run 1: coda_hard_p1
##########5K!##########
##########1K!##########
##########500!##########
##########250!##########
##########100!##########
##########5K!##########
new_model_params: 11950583, saved_model_params: 11950592
METRICS:  ['DISTANCE_TO_GOAL', 'SUCCESS', 'SPL', 'COLLISIONS', 'BASE_STATE', 'COLLISIONS', 'SOFT_SPL', 'TOP_DOWN_MAP', 'EPISODE_DISTANCE']
METRIC UUID:  spl
Ep_id:  2 Start_pos:  [-5.627, 0.0, -4.9399999999999995] [0.0, 0.0, 0.0, -1.0] Goal_pos:  [-1.6269999999999998, 0.0, 0.56]
[0, 0, 0, 3, 0]
[-5.626999855041504, 4.940000057220459, -0.5235988065090684, 3, 0]
[-5.626999855041504, 4.940000057220459, -1.047197507135579, 3, 0]
[-5.626999855041504, 4.940000057220459, -1.5707962425012016, 3, 0]
[-5.626999855041504, 4.940000057220459, -2.094395086849571, 1, 0]
[-5.41049337387085, 4.815000057220459, -2.094395086849571, 3, 0]
[-5.41049337387085, 4.815000057220459, -2.617993847080725, 1, 0]
[-5.28549337387085, 4.598493576049805, -2.617993847080725, 1, 0]
[-5.16049337387085, 4.38198709487915, -2.617993847080725, 3, 0]
[-5.16049337387085, 4.38198709487915, -3.1415925939851483, 1, 0]
[-5.16049337387085, 4.13198709487915, -3.1415925939851483, 2, 0]
[-5.16049337387085, 4.13198709487915, -2.6179938162270884, 2, 0]
[-5.16049337387085, 4.13198709487915, -2.0943949836113, 2, 0]
[-5.16049337387085, 4.13198709487915, -1.5707961582074996, 1, 0]
[-4.91049337387085, 4.13198709487915, -1.5707961582074996, 3, 0]
[-4.91049337387085, 4.13198709487915, -2.0943948803730352, 3, 0]
[-4.91049337387085, 4.13198709487915, -2.6179936435060958, 3, 0]
[-4.91049337387085, 4.13198709487915, -3.141592415171214, 1, 0]
[-4.91049337387085, 3.8819870948791504, -3.141592415171214, 1, 0]
[-4.91049337387085, 3.6319870948791504, -3.141592415171214, 2, 0]
[-4.91049337387085, 3.6319870948791504, -2.617993585932433, 1, 0]
[-4.78549337387085, 3.415480852127075, -2.617993585932433, 2, 0]
[-4.78549337387085, 3.415480852127075, -2.0943948207683785, 1, 0]
[-4.568986892700195, 3.290480852127075, -2.0943948207683785, 3, 0]
[-4.568986892700195, 3.290480852127075, -2.617993585932433, 3, 0]
[-4.568986892700195, 3.290480852127075, -3.1415923555665692, 3, 0]
[-4.568986892700195, 3.290480852127075, 2.6179941925227164, 1, 0]
[-4.693986892700195, 3.073974370956421, 2.6179941925227164, 3, 0]
[-4.693986892700195, 3.073974370956421, 2.0943954125353974, 1, 0]
[-4.91049337387085, 2.948974370956421, 2.0943954125353974, 2, 0]
[-4.91049337387085, 2.948974370956421, 2.6179941925227164, 2, 0]
[-4.91049337387085, 2.948974370956421, -3.1415923555665692, 2, 0]
[-4.91049337387085, 2.948974370956421, -2.6179935283587716, 2, 0]
[-4.91049337387085, 2.948974370956421, -2.0943947175301165, 1, 0]
[-4.693986892700195, 2.823974370956421, -2.0943947175301165, 3, 0]
[-4.693986892700195, 2.823974370956421, -2.6179934707851107, 3, 0]
[-4.693986892700195, 2.823974370956421, -3.1415922363572797, 1, 0]
[-4.693986892700195, 2.573974370956421, -3.1415922363572797, 1, 0]
[-4.693986892700195, 2.323974370956421, -3.1415922363572797, 3, 0]
[-4.693986892700195, 2.323974370956421, 2.6179943076700534, 1, 0]
[-4.818986892700195, 2.1074678897857666, 2.6179943076700534, 2, 0]
[-4.818986892700195, 2.1074678897857666, -3.1415922363572797, 1, 0]
[-4.818986892700195, 1.8574678897857666, -3.1415922363572797, 3, 0]
[-4.818986892700195, 1.8574678897857666, 2.6179943076700534, 1, 0]
[-4.943986892700195, 1.6409615278244016, 2.6179943076700534, 2, 0]
[-4.943986892700195, 1.6409615278244016, -3.1415922363572797, 2, 0]
[-4.943986892700195, 1.6409615278244016, -2.617993413211451, 2, 0]
[-4.943986892700195, 1.6409615278244016, -2.0943946142918604, 2, 0]
[-4.943986892700195, 1.6409615278244016, -1.5707957367390324, 1, 0]
[-4.693986892700195, 1.6409616470336914, -1.5707957367390324, 3, 0]
[-4.693986892700195, 1.6409616470336914, -2.094394451448937, 3, 0]
[-4.693986892700195, 1.6409616470336914, -2.617993209636806, 3, 0]
[-4.693986892700195, 1.6409616470336914, -3.141592027741023, 3, 0]
[-4.693986892700195, 1.6409616470336914, 2.6179944536709967, 1, 0]
[-4.818986892700195, 1.424455165863037, 2.6179944536709967, 3, 0]
[-4.818986892700195, 1.424455165863037, 2.094395678616585, 1, 1]
[-5.031252384185791, 1.301903486251831, 2.094395678616585, 3, 0]
[-5.031252384185791, 1.301903486251831, 1.5707968325570874, 1, 1]
[-5.031252384185791, 1.301903486251831, 1.5707968325570874, 3, 0]
[-5.031252384185791, 1.301903486251831, 1.047198039297933, 1, 1]
[-5.031252384185791, 1.301903486251831, 1.047198039297933, 3, 0]
[-5.031252384185791, 1.301903486251831, 0.5235992403783423, 1, 1]
[-5.031252384185791, 1.3019037246704102, 0.5235992403783423, 3, 0]
[-5.031252384185791, 1.3019037246704102, 4.7683715820311595e-07, 3, 0]
[-5.031252384185791, 1.3019037246704102, -0.5235983150661313, 3, 0]
[-5.031252384185791, 1.3019037246704102, -1.047197078211493, 3, 0]
[-5.031252384185791, 1.3019037246704102, -1.570795905326422, 1, 0]
[-4.781252384185791, 1.3019038438796997, -1.570795905326422, 3, 0]
[-4.781252384185791, 1.3019038438796997, -2.0943946142918604, 1, 0]
[-4.564745903015137, 1.1769039630889893, -2.0943946142918604, 2, 0]
[-4.564745903015137, 1.1769039630889893, -1.5707957367390324, 2, 0]
[-4.564745903015137, 1.1769039630889893, -1.0471969233540634, 1, 0]
[-4.348239421844482, 1.3019040822982788, -1.0471969233540634, 3, 0]
[-4.348239421844482, 1.3019040822982788, -1.5707956524453657, 3, 0]
[-4.348239421844482, 1.3019040822982788, -2.094394451448937, 3, 0]
[-4.348239421844482, 1.3019040822982788, -2.617993209636806, 3, 0]
[-4.348239421844482, 1.3019040822982788, -3.141592027741023, 3, 0]
[-4.348239421844482, 1.3019040822982788, 2.6179944536709967, 3, 0]
[-4.348239421844482, 1.3019040822982788, 2.094395678616585, 1, 0]
[-4.564745903015137, 1.1769039630889893, 2.094395678616585, 3, 0]
[-4.564745903015137, 1.1769039630889893, 1.5707968325570874, 1, 0]
[-4.814745903015137, 1.1769038438796997, 1.5707968325570874, 2, 0]
[-4.814745903015137, 1.1769038438796997, 2.094395626997442, 2, 0]
[-4.814745903015137, 1.1769038438796997, 2.6179943960973286, 2, 0]
[-4.814745903015137, 1.1769038438796997, -3.14159211714799, 2, 0]
[-4.814745903015137, 1.1769038438796997, -2.6179933247841274, 2, 0]
[-4.814745903015137, 1.1769038438796997, -2.094394451448937, 2, 0]
[-4.814745903015137, 1.1769038438796997, -1.5707955681516426, 2, 0]
[-4.814745903015137, 1.1769038438796997, -1.047196760511164, 2, 0]
[-4.814745903015137, 1.1769038438796997, -0.5235979696241161, 1, 0]
[-4.689745903015137, 1.393410325050354, -0.5235979696241161, 3, 0]
[-4.689745903015137, 1.393410325050354, -1.047196760511164, 1, 0]
[-4.473239421844482, 1.5184104442596436, -1.047196760511164, 3, 0]
[-4.473239421844482, 1.5184104442596436, -1.570795483857912, 3, 0]
[-4.473239421844482, 1.5184104442596436, -2.094394185367762, 2, 0]
[-4.473239421844482, 1.5184104442596436, -1.5707953995642525, 3, 0]
[-4.473239421844482, 1.5184104442596436, -2.094394125763069, 3, 0]
[-4.473239421844482, 1.5184104442596436, -2.6179928333411704, 3, 0]
[-4.473239421844482, 1.5184104442596436, -3.141591640310832, 3, 0]
[-4.473239421844482, 1.5184104442596436, 2.617994829966603, 3, 0]
[-4.473239421844482, 1.5184104442596436, 2.0943961075406707, 3, 0]
[-4.473239421844482, 1.5184104442596436, 1.5707973383191929, 3, 0]
[-4.473239421844482, 1.5184104442596436, 1.0471986310649664, 3, 0]
[-4.473239421844482, 1.5184104442596436, 0.523599820248623, 1, 0]
[-4.598239421844482, 1.7349166870117188, 0.523599820248623, 3, 0]
[-4.598239421844482, 1.7349166870117188, 1.013278961181554e-06, 1, 0]
[-4.598239898681641, 1.9849166870117188, 1.013278961181554e-06, 3, 0]
[-4.598239898681641, 1.9849166870117188, -0.5235978236231904, 1, 0]
[-4.473239898681641, 2.201423168182373, -0.5235978236231904, 3, 0]
[-4.473239898681641, 2.201423168182373, -1.0471965460491226, 1, 1]
[-4.344608783721924, 2.275688648223877, -1.0471965460491226, 3, 0]
[-4.344608783721924, 2.275688648223877, -1.5707953152706005, 1, 1]
[-4.344608783721924, 2.275688648223877, -1.5707953152706005, 2, 0]
[-4.344608783721924, 2.275688648223877, -1.0471965460491226, 2, 0]
[-4.344608783721924, 2.275688648223877, -0.5235977660495194, 1, 1]
[-4.344608783721924, 2.275688648223877, -0.5235977660495194, 2, 0]
[-4.344608783721924, 2.275688648223877, 9.834766387938661e-07, 1, 0]
[-4.344609260559082, 2.525688648223877, 9.834766387938661e-07, 3, 0]
[-4.344609260559082, 2.525688648223877, -0.5235978236231904, 3, 0]
[-4.344609260559082, 2.525688648223877, -1.0471965460491226, 3, 0]
[-4.344609260559082, 2.525688648223877, -1.5707953152706005, 3, 0]
[-4.344609260559082, 2.525688648223877, -2.0943940225248268, 2, 0]
[-4.344609260559082, 2.525688648223877, -1.5707951466831183, 2, 0]
[-4.344609260559082, 2.525688648223877, -1.0471964428108202, 2, 0]
[-4.344609260559082, 2.525688648223877, -0.5235977084758473, 1, 0]
[-4.219609260559082, 2.7421951293945312, -0.5235977084758473, 2, 0]
